Age,IFR,Sex,Estimate,Type
39,2.465383101091339e-4,f,Central,Ungrouped
40,2.642583599917112e-4,f,Central,Ungrouped
41,2.853752253547775e-4,f,Central,Ungrouped
42,3.1079505062374884e-4,f,Central,Ungrouped
43,3.4164884470302357e-4,f,Central,Ungrouped
44,3.784223082183706e-4,f,Central,Ungrouped
45,4.205062220712599e-4,f,Central,Ungrouped
46,4.666870098472096e-4,f,Central,Ungrouped
47,5.14985804146823e-4,f,Central,Ungrouped
48,5.626736204079188e-4,f,Central,Ungrouped
49,6.099188644367115e-4,f,Central,Ungrouped
50,6.612888839928969e-4,f,Central,Ungrouped
51,7.232364066393926e-4,f,Central,Ungrouped
52,8.046471802698684e-4,f,Central,Ungrouped
53,9.18012689125918e-4,f,Central,Ungrouped
54,0.0010721354247197649,f,Central,Ungrouped
55,0.0012670861623159386,f,Central,Ungrouped
56,0.0014973782627376963,f,Central,Ungrouped
57,0.0017483931965600623,f,Central,Ungrouped
58,0.001994136277130741,f,Central,Ungrouped
59,0.002221234851027827,f,Central,Ungrouped
60,0.0024432260939071574,f,Central,Ungrouped
61,0.0026846062039124915,f,Central,Ungrouped
62,0.0029810103989285053,f,Central,Ungrouped
63,0.003382656504569707,f,Central,Ungrouped
64,0.0039304083873457855,f,Central,Ungrouped
65,0.0046430677315256,f,Central,Ungrouped
66,0.0055346407067076294,f,Central,Ungrouped
67,0.006607245288574105,f,Central,Ungrouped
68,0.00784162319807404,f,Central,Ungrouped
69,0.00922270578119444,f,Central,Ungrouped
70,0.010759552896562724,f,Central,Ungrouped
71,0.012465470474332543,f,Central,Ungrouped
72,0.014358094068725201,f,Central,Ungrouped
73,0.01646296530779769,f,Central,Ungrouped
74,0.018868737379588815,f,Central,Ungrouped
75,0.021769696071537323,f,Central,Ungrouped
76,0.02546491717416477,f,Central,Ungrouped
77,0.030417125745873966,f,Central,Ungrouped
78,0.037348578171250604,f,Central,Ungrouped
79,0.0469284648823274,f,Central,Ungrouped
80,0.05939689801997798,f,Central,Ungrouped
81,0.074508094406314,f,Central,Ungrouped
82,0.09113864230941933,f,Central,Ungrouped
83,0.10703203088426504,f,Central,Ungrouped
84,0.12075857780520928,f,Central,Ungrouped
85,0.1331141789206649,f,Central,Ungrouped
86,0.14589735419669989,f,Central,Ungrouped
87,0.16180873068191515,f,Central,Ungrouped
88,0.18470335950666536,f,Central,Ungrouped
89,0.21807886016539071,f,Central,Ungrouped
90,0.2644396920259713,f,Central,Ungrouped
91,0.3268094407686546,f,Central,Ungrouped
92,0.40850558505690593,f,Central,Ungrouped
93,0.5126158713033454,f,Central,Ungrouped
94,0.6433536848807269,f,Central,Ungrouped
95,0.8074349371923327,f,Central,Ungrouped
96,1.0133635558793082,f,Central,Ungrouped
97,1.271812314630795,f,Central,Ungrouped
98,1.5961759767875303,f,Central,Ungrouped
99,2.0032655129725194,f,Central,Ungrouped
100,2.5141793723407475,f,Central,Ungrouped
0,5.877597244752827e-4,f,Lower,Ungrouped
1,4.583143238259276e-4,f,Lower,Ungrouped
2,3.573773613214807e-4,f,Lower,Ungrouped
3,2.7870654037092394e-4,f,Lower,Ungrouped
4,2.1782599695232497e-4,f,Lower,Ungrouped
5,1.7118615466461687e-4,f,Lower,Ungrouped
6,1.357319630241123e-4,f,Lower,Ungrouped
7,1.0894527075405405e-4,f,Lower,Ungrouped
8,8.882068525641234e-5,f,Lower,Ungrouped
9,7.383501300095344e-5,f,Lower,Ungrouped
10,6.285102940770531e-5,f,Lower,Ungrouped
11,5.502145568820863e-5,f,Lower,Ungrouped
12,4.974955919634545e-5,f,Lower,Ungrouped
13,4.665996166025611e-5,f,Lower,Ungrouped
14,4.5571068957797014e-5,f,Lower,Ungrouped
15,4.651003733857614e-5,f,Lower,Ungrouped
16,4.977742104376319e-5,f,Lower,Ungrouped
17,5.6061140111752615e-5,f,Lower,Ungrouped
18,6.662969456317622e-5,f,Lower,Ungrouped
19,8.25604663624843e-5,f,Lower,Ungrouped
20,1.0379739351314851e-4,f,Lower,Ungrouped
21,1.2877728553728154e-4,f,Lower,Ungrouped
22,1.5334128762983166e-4,f,Lower,Ungrouped
23,1.7062572941659647e-4,f,Lower,Ungrouped
24,1.7709448749012364e-4,f,Lower,Ungrouped
25,1.7545315334873977e-4,f,Lower,Ungrouped
26,1.6998221152768269e-4,f,Lower,Ungrouped
27,1.6497665110850506e-4,f,Lower,Ungrouped
28,1.6421123568812382e-4,f,Lower,Ungrouped
29,1.6884725293769303e-4,f,Lower,Ungrouped
30,1.7775013600698523e-4,f,Lower,Ungrouped
31,1.8973999367577355e-4,f,Lower,Ungrouped
32,2.0339908961529966e-4,f,Lower,Ungrouped
33,2.1692220397059452e-4,f,Lower,Ungrouped
34,2.294057896003194e-4,f,Lower,Ungrouped
35,2.4126113586787627e-4,f,Lower,Ungrouped
36,2.5310793961263116e-4,f,Lower,Ungrouped
37,2.657127250882821e-4,f,Lower,Ungrouped
38,2.7998813631341005e-4,f,Lower,Ungrouped
39,2.967248120900336e-4,f,Lower,Ungrouped
40,3.165593020723156e-4,f,Lower,Ungrouped
41,3.40269507412443e-4,f,Lower,Ungrouped
42,3.6883954293903323e-4,f,Lower,Ungrouped
43,4.0348919084225924e-4,f,Lower,Ungrouped
44,4.447089848489057e-4,f,Lower,Ungrouped
45,4.917848451769174e-4,f,Lower,Ungrouped
46,5.43361707146985e-4,f,Lower,Ungrouped
47,5.972786314400926e-4,f,Lower,Ungrouped
48,6.505974438036395e-4,f,Lower,Ungrouped
49,7.037030687837627e-4,f,Lower,Ungrouped
50,7.619447329557339e-4,f,Lower,Ungrouped
51,8.32805532638706e-4,f,Lower,Ungrouped
52,9.26571646059193e-4,f,Lower,Ungrouped
53,0.0010577329223432847,f,Lower,Ungrouped
54,0.0012367326578429808,f,Lower,Ungrouped
55,0.0014642473603022463,f,Lower,Ungrouped
56,0.0017347826640098912,f,Lower,Ungrouped
57,0.0020324547714364867,f,Lower,Ungrouped
58,0.0023281013341528325,f,Lower,Ungrouped
59,0.002606178870175534,f,Lower,Ungrouped
60,0.0028813783016077396,f,Lower,Ungrouped
61,0.0031810407254707655,f,Lower,Ungrouped
62,0.0035456039823757684,f,Lower,Ungrouped
63,0.004032561641896208,f,Lower,Ungrouped
64,0.0046897169262795245,f,Lower,Ungrouped
65,0.005540888349724834,f,Lower,Ungrouped
66,0.006605568967625919,f,Lower,Ungrouped
67,0.007891690289091964,f,Lower,Ungrouped
68,0.009385509129497111,f,Lower,Ungrouped
69,0.011077443908560072,f,Lower,Ungrouped
70,0.012982191325995358,f,Lower,Ungrouped
71,0.015117643573088943,f,Lower,Ungrouped
72,0.017504462415264644,f,Lower,Ungrouped
73,0.02017009421473967,f,Lower,Ungrouped
74,0.023228526463647797,f,Lower,Ungrouped
75,0.02694289796785202,f,Lower,Ungrouped
76,0.0317245271787644,f,Lower,Ungrouped
77,0.038220248738693834,f,Lower,Ungrouped
78,0.04746010788426104,f,Lower,Ungrouped
79,0.06045075353372694,f,Lower,Ungrouped
80,0.07764705533540443,f,Lower,Ungrouped
81,0.09882824691132283,f,Lower,Ungrouped
82,0.1224764468632759,f,Lower,Ungrouped
83,0.1453321038239058,f,Lower,Ungrouped
84,0.1653255071478245,f,Lower,Ungrouped
85,0.18379302788318252,f,Lower,Ungrouped
86,0.20370897552436598,f,Lower,Ungrouped
87,0.22964889349941267,f,Lower,Ungrouped
88,0.2684767164442113,f,Lower,Ungrouped
89,0.32721420844101845,f,Lower,Ungrouped
90,0.412112960682094,f,Lower,Ungrouped
91,0.5313347791607673,f,Lower,Ungrouped
92,0.6947000415924023,f,Lower,Ungrouped
93,0.9126523419190996,f,Lower,Ungrouped
94,1.1991990302215143,f,Lower,Ungrouped
95,1.5757131692230908,f,Lower,Ungrouped
96,2.070441960918245,f,Lower,Ungrouped
97,2.720501419458561,f,Lower,Ungrouped
98,3.574660924082908,f,Lower,Ungrouped
99,4.697002041891385,f,Lower,Ungrouped
100,6.171726116146774,f,Lower,Ungrouped
0,2.0087265586755777e-4,f,Upper,Ungrouped
1,1.682100304060357e-4,f,Upper,Ungrouped
2,1.4085846680822033e-4,f,Upper,Ungrouped
3,1.1795752460506833e-4,f,Upper,Ungrouped
4,9.884650853776058e-5,f,Upper,Ungrouped
5,8.299318261953318e-5,f,Upper,Ungrouped
6,6.990901848745642e-5,f,Upper,Ungrouped
7,5.915588943407521e-5,f,Upper,Ungrouped
8,5.03556019806388e-5,f,Upper,Ungrouped
9,4.328807490668523e-5,f,Upper,Ungrouped
10,3.78198430058203e-5,f,Upper,Ungrouped
11,3.379941281732781e-5,f,Upper,Ungrouped
12,3.1098797000429954e-5,f,Upper,Ungrouped
13,2.9647010408594287e-5,f,Upper,Ungrouped
14,2.9393338910585896e-5,f,Upper,Ungrouped
15,3.0342082942367772e-5,f,Upper,Ungrouped
16,3.264516983760172e-5,f,Upper,Ungrouped
17,3.66452901927193e-5,f,Upper,Ungrouped
18,4.294101044016185e-5,f,Upper,Ungrouped
19,5.1947307760761424e-5,f,Upper,Ungrouped
20,6.341982052969226e-5,f,Upper,Ungrouped
21,7.634369762598397e-5,f,Upper,Ungrouped
22,8.853655705930978e-5,f,Upper,Ungrouped
23,9.673944032962789e-5,f,Upper,Ungrouped
24,9.956255081807256e-5,f,Upper,Ungrouped
25,9.863469787841705e-5,f,Upper,Ungrouped
26,9.621651999959826e-5,f,Upper,Ungrouped
27,9.453676942404712e-5,f,Upper,Ungrouped
28,9.563669804847165e-5,f,Upper,Ungrouped
29,1.0020361313499395e-4,f,Upper,Ungrouped
30,1.0763666682549694e-4,f,Upper,Ungrouped
31,1.1725591601179777e-4,f,Upper,Ungrouped
32,1.2814054442970708e-4,f,Upper,Ungrouped
33,1.3900440521097973e-4,f,Upper,Ungrouped
34,1.49155656364568e-4,f,Upper,Ungrouped
35,1.588784778261817e-4,f,Upper,Ungrouped
36,1.6864866683039692e-4,f,Upper,Ungrouped
37,1.7909009812411278e-4,f,Upper,Ungrouped
38,1.9097535623082622e-4,f,Upper,Ungrouped
39,2.0493179636569338e-4,f,Upper,Ungrouped
40,2.2138067076734675e-4,f,Upper,Ungrouped
41,2.4082879194374873e-4,f,Upper,Ungrouped
42,2.639097854733107e-4,f,Upper,Ungrouped
43,2.9139605657262243e-4,f,Upper,Ungrouped
44,3.2362160383022086e-4,f,Upper,Ungrouped
45,3.601665924491905e-4,f,Upper,Ungrouped
46,4.0015712072543095e-4,f,Upper,Ungrouped
47,4.4214833016072716e-4,f,Upper,Ungrouped
48,4.841394336709332e-4,f,Upper,Ungrouped
49,5.264066576500571e-4,f,Upper,Ungrouped
50,5.727074855805687e-4,f,Upper,Ungrouped
51,6.283804089675572e-4,f,Upper,Ungrouped
52,7.008231255202078e-4,f,Upper,Ungrouped
53,8.004427169249999e-4,f,Upper,Ungrouped
54,9.344184925189067e-4,f,Upper,Ungrouped
55,0.0011023219799064683,f,Upper,Ungrouped
56,0.0012987340929581385,f,Upper,Ungrouped
57,0.0015103082809984811,f,Upper,Ungrouped
58,0.0017141501364300808,f,Upper,Ungrouped
59,0.0018990202075068908,f,Upper,Ungrouped
60,0.0020774120744057973,f,Upper,Ungrouped
61,0.002271215603302972,f,Upper,Ungrouped
62,0.0025116957474102257,f,Upper,Ungrouped
63,0.0028424791942759865,f,Upper,Ungrouped
64,0.003298522419882216,f,Upper,Ungrouped
65,0.0038951608355423076,f,Upper,Ungrouped
66,0.004643285821068147,f,Upper,Ungrouped
67,0.005542807152136874,f,Upper,Ungrouped
68,0.0065740300964202865,f,Upper,Ungrouped
69,0.007720278695011398,f,Upper,Ungrouped
70,0.00898553632140904,f,Upper,Ungrouped
71,0.010376672517403242,f,Upper,Ungrouped
72,0.011903334667440356,f,Upper,Ungrouped
73,0.013580659097009265,f,Upper,Ungrouped
74,0.01547225530137245,f,Upper,Ungrouped
75,0.01772146124902635,f,Upper,Ungrouped
76,0.020546744704027328,f,Upper,Ungrouped
77,0.02428111169265913,f,Upper,Ungrouped
78,0.02943485195301596,f,Upper,Ungrouped
79,0.03645332789228718,f,Upper,Ungrouped
80,0.04545037015656421,f,Upper,Ungrouped
81,0.05619616844692084,f,Upper,Ungrouped
82,0.06787176567401311,f,Upper,Ungrouped
83,0.07892299076749244,f,Upper,Ungrouped
84,0.08836613903462565,f,Upper,Ungrouped
85,0.09666948978988114,f,Upper,Ungrouped
86,0.10491608560908973,f,Upper,Ungrouped
87,0.11470219837452109,f,Upper,Ungrouped
88,0.12820749840112583,f,Upper,Ungrouped
89,0.14718569302586887,f,Upper,Ungrouped
90,0.17257988351548784,f,Upper,Ungrouped
91,0.20542636134144174,f,Upper,Ungrouped
92,0.24673606126875447,f,Upper,Ungrouped
93,0.29726780137784165,f,Upper,Ungrouped
94,0.35818997357288335,f,Upper,Ungrouped
95,0.43159755807211453,f,Upper,Ungrouped
96,0.5200493198504063,f,Upper,Ungrouped
97,0.6266284181146368,f,Upper,Ungrouped
98,0.7550498758498573,f,Upper,Ungrouped
99,0.9097900742136299,f,Upper,Ungrouped
100,1.0962427855590235,f,Upper,Ungrouped
