Sex,Age,Estimate,IFR,Source,Age_int
t,90,Upper,0.31245551335563365,Spain,5
m,0,Upper,7.508625702654896e-4,Spain,5
m,5,Upper,4.0044697971393354e-5,Spain,5
m,10,Upper,2.262822145598748e-5,Spain,5
m,15,Upper,8.778231973409167e-5,Spain,5
m,20,Upper,2.2117519112471222e-4,Spain,5
m,25,Upper,1.2686313453806703e-4,Spain,5
m,30,Upper,3.140214320319489e-4,Spain,5
m,35,Upper,3.012305260856389e-4,Spain,5
m,40,Upper,5.217590952190169e-4,Spain,5
m,45,Upper,9.606897750130888e-4,Spain,5
m,50,Upper,0.0017612344470071572,Spain,5
m,55,Upper,0.0035147167892139734,Spain,5
m,60,Upper,0.0075483425011619145,Spain,5
m,65,Upper,0.017517028176912027,Spain,5
m,70,Upper,0.02729306208093207,Spain,5
m,75,Upper,0.05807456512710817,Spain,5
m,80,Upper,0.13947507930616213,Spain,5
m,85,Upper,0.1524671996509194,Spain,5
m,90,Upper,0.29744224721811385,Spain,5
f,0,Upper,1.2889868618019647e-4,Spain,5
f,5,Upper,5.4531440859656266e-5,Spain,5
f,10,Upper,3.021898505239692e-5,Spain,5
f,15,Upper,3.9460956645183546e-5,Spain,5
f,20,Upper,9.33407464741993e-5,Spain,5
f,25,Upper,9.462961187748633e-5,Spain,5
f,30,Upper,1.3366072849071704e-4,Spain,5
f,35,Upper,1.8480105149745553e-4,Spain,5
f,40,Upper,2.7705416652275164e-4,Spain,5
f,45,Upper,4.632598654191997e-4,Spain,5
f,50,Upper,7.465009406082992e-4,Spain,5
f,55,Upper,0.0016147903597688363,Spain,5
f,60,Upper,0.002662690530773635,Spain,5
f,65,Upper,0.006043910481128638,Spain,5
f,70,Upper,0.012721526918332941,Spain,5
f,75,Upper,0.026642179384572202,Spain,5
f,80,Upper,0.07358877811065938,Spain,5
f,85,Upper,0.12083678787495492,Spain,5
f,90,Upper,0.2708102475141439,Spain,5
t,0,Central,1.6e-5,Verity et al.,10
t,10,Central,7e-5,Verity et al.,10
t,20,Central,3.1e-4,Verity et al.,10
t,30,Central,8.4e-4,Verity et al.,10
t,40,Central,0.0016,Verity et al.,10
t,50,Central,0.006,Verity et al.,10
t,60,Central,0.019,Verity et al.,10
t,70,Central,0.043,Verity et al.,10
t,80,Central,0.078,Verity et al.,10
t,0,Lower,1.85e-6,Verity et al.,10
t,10,Lower,1.5e-5,Verity et al.,10
t,20,Lower,1.4e-4,Verity et al.,10
t,30,Lower,4.1e-4,Verity et al.,10
t,40,Lower,7.6e-4,Verity et al.,10
t,50,Lower,0.0034,Verity et al.,10
t,60,Lower,0.011,Verity et al.,10
t,70,Lower,0.025,Verity et al.,10
t,80,Lower,0.038,Verity et al.,10
t,0,Upper,2.49e-4,Verity et al.,10
t,10,Upper,5e-4,Verity et al.,10
t,20,Upper,9.2e-4,Verity et al.,10
t,30,Upper,0.00185,Verity et al.,10
t,40,Upper,0.0032,Verity et al.,10
t,50,Upper,0.013,Verity et al.,10
t,60,Upper,0.039,Verity et al.,10
t,70,Upper,0.084,Verity et al.,10
t,80,Upper,0.133,Verity et al.,10
m,0,Central,3e-5,ODriscol et al.,5
m,5,Central,1e-5,ODriscol et al.,5
m,10,Central,1e-5,ODriscol et al.,5
m,15,Central,3e-5,ODriscol et al.,5
m,20,Central,8e-5,ODriscol et al.,5
m,25,Central,1.7e-4,ODriscol et al.,5
m,30,Central,3.3e-4,ODriscol et al.,5
m,35,Central,5.600000000000001e-4,ODriscol et al.,5
m,40,Central,0.00106,ODriscol et al.,5
m,45,Central,0.00168,ODriscol et al.,5
m,50,Central,0.00291,ODriscol et al.,5
m,55,Central,0.0044800000000000005,ODriscol et al.,5
m,60,Central,0.0059499999999999996,ODriscol et al.,5
m,65,Central,0.01452,ODriscol et al.,5
m,70,Central,0.02307,ODriscol et al.,5
m,75,Central,0.0426,ODriscol et al.,5
m,80,Central,0.10825,ODriscol et al.,5
m,0,Lower,2e-5,ODriscol et al.,5
m,5,Lower,0,ODriscol et al.,5
m,10,Lower,1e-5,ODriscol et al.,5
m,15,Lower,2e-5,ODriscol et al.,5
m,20,Lower,7.000000000000001e-5,ODriscol et al.,5
m,25,Lower,1.4000000000000001e-4,ODriscol et al.,5
m,30,Lower,2.8000000000000003e-4,ODriscol et al.,5
m,35,Lower,4.8e-4,ODriscol et al.,5
m,40,Lower,9.1e-4,ODriscol et al.,5
m,45,Lower,0.0014399999999999999,ODriscol et al.,5
m,50,Lower,0.0025,ODriscol et al.,5
m,55,Lower,0.00384,ODriscol et al.,5
m,60,Lower,0.00511,ODriscol et al.,5
m,65,Lower,0.01244,ODriscol et al.,5
m,70,Lower,0.01976,ODriscol et al.,5
m,75,Lower,0.03651,ODriscol et al.,5
m,80,Lower,0.09276,ODriscol et al.,5
m,0,Upper,4e-5,ODriscol et al.,5
m,5,Upper,1e-5,ODriscol et al.,5
m,10,Upper,2e-5,ODriscol et al.,5
m,15,Upper,3e-5,ODriscol et al.,5
m,20,Upper,8.999999999999999e-5,ODriscol et al.,5
m,25,Upper,2e-4,ODriscol et al.,5
m,30,Upper,3.7999999999999997e-4,ODriscol et al.,5
m,35,Upper,6.5e-4,ODriscol et al.,5
m,40,Upper,0.00123,ODriscol et al.,5
m,45,Upper,0.0019500000000000001,ODriscol et al.,5
m,50,Upper,0.00336,ODriscol et al.,5
m,55,Upper,0.005180000000000001,ODriscol et al.,5
m,60,Upper,0.00688,ODriscol et al.,5
m,65,Upper,0.0168,ODriscol et al.,5
m,70,Upper,0.026680000000000002,ODriscol et al.,5
m,75,Upper,0.04929,ODriscol et al.,5
m,80,Upper,0.12523,ODriscol et al.,5
f,0,Central,3e-5,ODriscol et al.,5
f,5,Central,1e-5,ODriscol et al.,5
f,10,Central,1e-5,ODriscol et al.,5
f,15,Central,2e-5,ODriscol et al.,5
f,20,Central,5e-5,ODriscol et al.,5
f,25,Central,8.999999999999999e-5,ODriscol et al.,5
f,30,Central,1.5e-4,ODriscol et al.,5
f,35,Central,2.5e-4,ODriscol et al.,5
f,40,Central,4.3999999999999996e-4,ODriscol et al.,5
f,45,Central,7.3e-4,ODriscol et al.,5
f,50,Central,0.00123,ODriscol et al.,5
f,55,Central,0.00197,ODriscol et al.,5
f,60,Central,0.00318,ODriscol et al.,5
f,65,Central,0.006979999999999999,ODriscol et al.,5
f,70,Central,0.01042,ODriscol et al.,5
f,75,Central,0.02145,ODriscol et al.,5
f,80,Central,0.05759,ODriscol et al.,5
f,0,Lower,2e-5,ODriscol et al.,5
f,5,Lower,0,ODriscol et al.,5
f,10,Lower,0,ODriscol et al.,5
f,15,Lower,2e-5,ODriscol et al.,5
f,20,Lower,4e-5,ODriscol et al.,5
f,25,Lower,8e-5,ODriscol et al.,5
f,30,Lower,1.3e-4,ODriscol et al.,5
f,35,Lower,2.1e-4,ODriscol et al.,5
f,40,Lower,3.7999999999999997e-4,ODriscol et al.,5
f,45,Lower,6.3e-4,ODriscol et al.,5
f,50,Lower,0.00105,ODriscol et al.,5
f,55,Lower,0.00169,ODriscol et al.,5
f,60,Lower,0.0027300000000000002,ODriscol et al.,5
f,65,Lower,0.00598,ODriscol et al.,5
f,70,Lower,0.00893,ODriscol et al.,5
f,75,Lower,0.01838,ODriscol et al.,5
f,80,Lower,0.04935,ODriscol et al.,5
f,0,Upper,3e-5,ODriscol et al.,5
f,5,Upper,1e-5,ODriscol et al.,5
f,10,Upper,1e-5,ODriscol et al.,5
f,15,Upper,3e-5,ODriscol et al.,5
f,20,Upper,6e-5,ODriscol et al.,5
